value,full_text,display_text,selected
611_2,ISS SEPLAG Niteroi ANA DE POLÍTICAS PÚBLICAS E GESTÃO GOVERNAMENTAL SEPLAG GESTÃO GOVERNAMENTAL,ISS SEPLAG... ANA DE POLÍTICAS PÚBLICAS E GESTÃO GOVERNAMENTAL SEPLAG GESTÃO GOVERNAMENTAL,False
611_3,ISS SEPLAG Niteroi AUDITOR MUNICIPAL DE CONTROLE INTERNO CGM CIÊNCIAS CONTÁBEIS,ISS SEPLAG... AUDITOR MUNICIPAL DE CONTROLE INTERNO CGM CIÊNCIAS CONTÁBEIS,False
611_4,ISS SEPLAG Niteroi AUDITOR MUNICIPAL DE CONTROLE INTERNO CGM CONTROLE INTERNO,ISS SEPLAG... AUDITOR MUNICIPAL DE CONTROLE INTERNO CGM CONTROLE INTERNO,False
611_5,ISS SEPLAG Niteroi AUDITOR MUNICIPAL DE CONTROLE INTERNO CGM DIREITO,ISS SEPLAG... AUDITOR MUNICIPAL DE CONTROLE INTERNO CGM DIREITO,False
437_1,ISS Serra ES Auditor Fiscal,ISS Serra ... Auditor Fiscal,False
554_1,ISS SERRA NEGRA SP AGENTE DE FISCALIZAÇÃO TRIBUTÁRIA #,ISS SERRA ... AGENTE DE FISCALIZAÇÃO TRIBUTÁRIA #,False
519_1,ISS Sete Lagoas AUDITOR TEC FISCAL DE TRIBUTOS MUNICIPAIS I,ISS Sete L... AUDITOR TEC FISCAL DE TRIBUTOS MUNICIPAIS I,False
747_1,ISS Sinop FISCAL TRIBUTÁRIO,ISS Sinop FISCAL TRIBUTÁRIO,False
54_1,ISS Sobral Auditor Fiscal de Tributos Municipais,ISS Sobral Auditor Fiscal de Tributos Municipais,False
385_1,ISS Sorocaba Auditor Fiscal,ISS Soroca... Auditor Fiscal,False
218_1,ISS SP AFTM: Gestão Tributária,ISS SP AFTM: Gestão Tributária,False
218_2,ISS SP AFTM: Tecnologia da Informação,ISS SP AFTM: Tecnologia da Informação,False
