value,full_text,display_text,selected
207_2,ISS Fortaleza Ana TI,ISS Fortal... Ana TI,false
207_1,ISS Fortaleza Auditor Fiscal,ISS Fortal... Auditor Fiscal,false
599_1,ISS Francisco Morato AUDITOR FISCAL DE TRIBUTOS MUNICIPAIS,ISS Franci... AUDITOR FISCAL DE TRIBUTOS MUNICIPAIS,false
274_1,ISS Garanhuns Auditor Fiscal,ISS Garanh... Auditor Fiscal,false
58_1,ISS Governador Valadares Auditor Fiscal de Tributos,ISS Govern... Auditor Fiscal de Tributos,false
30_1,ISS Gramado Auditor Tributário,ISS Gramad... Auditor Tributário,false
407_1,ISS GUARUJA Fiscal Municipal,ISS GUARUJ... Fiscal Municipal,false
35_1,ISS Guarulhos Inspetor Fiscal de Rendas VI,ISS Guarul... Inspetor Fiscal de Rendas VI,false
686_1,ISS Imbé RS Auditor Fiscal da Receita Municipal,ISS Imbé R... Auditor Fiscal da Receita Municipal,false
653_1,ISS INDAIATUBA SP 25 AUDITOR FISCAL TRIBUTÁRIO,ISS INDAIA... AUDITOR FISCAL TRIBUTÁRIO,false
45_3,ISS Itajai Assistente Tribut,ISS Itajai Assistente Tribut,false
45_2,ISS Itajai Auditor Fiscal Municipal: Controle Urbano,ISS Itajai Auditor Fiscal Municipal: Controle Urbano,false
45_1,ISS Itajai Auditor Fiscal Municipal: Tributário,ISS Itajai Auditor Fiscal Municipal: Tributário,false
641_1,ISS Itatiba Auditor Fiscal de Rendas Municipais,ISS Itatib... Auditor Fiscal de Rendas Municipais,false
430_1,ISS Jaboatao dos Guararapes Auditor Fiscal Tributário,ISS Jaboat... Auditor Fiscal Tributário,false
748_2,ISS JARINU Controlador Interno,ISS JARINU Controlador Interno,false
748_1,ISS JARINU FISCAL TRIBUTÁRIO,ISS JARINU FISCAL TRIBUTÁRIO,false
275_1,ISS Joinville Auditor Fiscal,ISS Joinvi... Auditor Fiscal,false
735_1,ISS Lagoa Vermelha Auditor Fiscal,ISS Lagoa ... Auditor Fiscal,false
246_1,ISS Londrina Auditor Fiscal de Tributos,ISS Londri... Auditor Fiscal de Tributos,false
422_1,ISS Macaé Auditor Fiscal Tributário,ISS Macaé Auditor Fiscal Tributário,false
13_2,ISS Manaus Auditor Fiscal de Tributos Municipais,ISS Manaus Auditor Fiscal de Tributos Municipais,false
64_1,ISS Marica Fiscal de Tributos,ISS Marica Fiscal de Tributos,false
63_1,ISS Maua Fiscal de Tributos I,ISS Maua Fiscal de Tributos I,false
588_6,ISS Mossoro ANA DE PROCURADORIA – ESP.: CONTABILIDADE,ISS Mossor... ANA DE PROCURADORIA – ESP.: CONTABILIDADE,false
588_7,ISS Mossoro ANA DE PROCURADORIA – ESP.: DIREITO,ISS Mossor... ANA DE PROCURADORIA – ESP.: DIREITO,false
588_1,ISS Mossoro AUDITOR FISCAL DE TRIBUTOS MUNICIPAIS,ISS Mossor... AUDITOR FISCAL DE TRIBUTOS MUNICIPAIS,false
588_2,ISS Mossoro AUDITOR FISCAL DE TRIBUTOS MUNICIPAIS – ESP.: CIÊNCIAS CONTÁBEIS,ISS Mossor... AUDITOR FISCAL DE TRIBUTOS MUNICIPAIS – ESP.: CIÊNCIAS CONTÁBEIS,false
588_3,ISS Mossoro AUDITOR FISCAL DE TRIBUTOS MUNICIPAIS – ESP.: DIREITO,ISS Mossor... AUDITOR FISCAL DE TRIBUTOS MUNICIPAIS – ESP.: DIREITO,false
588_4,ISS Mossoro AUDITOR FISCAL DE TRIBUTOS MUNICIPAIS – ESP.: ENGENHARIA,ISS Mossor... AUDITOR FISCAL DE TRIBUTOS MUNICIPAIS – ESP.: ENGENHARIA,false
588_5,ISS Mossoro AUDITOR FISCAL DE TRIBUTOS MUNICIPAIS – ESP.: TECNOLOGIA DA,ISS Mossor... AUDITOR FISCAL DE TRIBUTOS MUNICIPAIS – ESP.: TECNOLOGIA DA,false
588_8,ISS Mossoro PROCURADOR DO MUNICÍPIO,ISS Mossor... PROCURADOR DO MUNICÍPIO,false
55_1,ISS Muriau Auditor Fiscal,ISS Muriau Auditor Fiscal,false
418_2,ISS Nova Iguaçu Ana Tributário do Tesouro Municipal,ISS Nova I... Ana Tributário do Tesouro Municipal,false
418_1,ISS Nova Iguaçu Auditor Fiscal do Tesouro Municipal,ISS Nova I... Auditor Fiscal do Tesouro Municipal,false
418_3,ISS Nova Iguaçu Contador,ISS Nova I... Contador,false
36_1,ISS Osasco Fiscal Tributário,ISS Osasco Fiscal Tributário,false
59_1,ISS Ouro Branco Auditor Fiscal Tributário,ISS Ouro B... Auditor Fiscal Tributário,false
389_1,ISS Ouro Preto Auditor Fiscal da Receita Municipal,ISS Ouro P... Auditor Fiscal da Receita Municipal,false
429_1,ISS Paraty Fiscal de Tributos,ISS Paraty Fiscal de Tributos,false
83_1,ISS Paulinia Auditor Fiscal,ISS Paulin... Auditor Fiscal,false
722_1,ISS Pereira Barreto Auditor Fiscal de Tributos,ISS Pereir... Auditor Fiscal de Tributos,false
32_1,ISS Petrolina Auditor Fiscal,ISS Petrol... Auditor Fiscal,false
131_1,ISS Pinhais Ana Fiscal de Tributos Municipais,ISS Pinhai... Ana Fiscal de Tributos Municipais,false
156_1,ISS Ponta Grossa Auditor Fiscal,ISS Ponta ... Auditor Fiscal,false
34_1,ISS Porto Alegre Auditor Fiscal da Receita Municipal,ISS Porto ... Auditor Fiscal da Receita Municipal,false
492_1,ISS Porto Alegre 25 Auditor Fiscal da Receita Municipal,ISS Porto ... Auditor Fiscal da Receita Municipal,false
386_2,ISS Ribeirao das Neves AUDITOR FISCAL,ISS Ribeir... AUDITOR FISCAL,false
302_1,ISS Ribeirao Preto Auditor (Fiscal Fazendário),ISS Ribeir... Auditor (Fiscal Fazendário),false
212_1,ISS Rio de Janeiro Fiscal de Rendas,ISS Rio de... Fiscal de Rendas,false
38_1,ISS S.J. Rio Preto Auditor Fiscal Tributário,ISS S.J. R... Auditor Fiscal Tributário,false
39_1,ISS Salvador Ana: Administra,ISS Salvad... Ana: Administra,false
39_2,ISS Salvador Auditor: Administra,ISS Salvad... Auditor: Administra,false
39_3,ISS Salvador Auditor: Tecnologia da Informa,ISS Salvad... Auditor: Tecnologia da Informa,false
251_1,ISS Santa Barbara Fiscal de Rendas,ISS Santa ... Fiscal de Rendas,false
222_1,ISS SANTOS AUDITOR FISCAL DE TRIBUTOS,ISS SANTOS AUDITOR FISCAL DE TRIBUTOS,false
46_1,ISS Santos Auditor Fiscal de Tributos Municipais,ISS Santos Auditor Fiscal de Tributos Municipais,false
303_1,ISS Sao Bernardo do Campo Auditor Fiscal de Rendas Municipais,ISS Sao Be... Auditor Fiscal de Rendas Municipais,false
250_1,ISS Sao Caetano do Sul Auditor Fiscal Tributário,ISS Sao Ca... Auditor Fiscal Tributário,false
241_1,ISS Sao José dos Campos Auditor Tributário Municipal,ISS Sao Jo... Auditor Tributário Municipal,false
44_1,ISS Sao Luis Auditor Fiscal de Tributos,ISS Sao Lu... Auditor Fiscal de Tributos,false
44_2,ISS Sao Luis Auditor Fiscal de Tributos: TI,ISS Sao Lu... Auditor Fiscal de Tributos: TI,false
611_1,ISS SEPLAG Niteroi ANA DE POLÍTICAS PÚBLICAS E GESTÃO GOVERNAMENTAL SEPLAG GESTÃO DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,ISS SEPLAG... ANA DE POLÍTICAS PÚBLICAS E GESTÃO GOVERNAMENTAL SEPLAG GESTÃO DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,false
611_2,ISS SEPLAG Niteroi ANA DE POLÍTICAS PÚBLICAS E GESTÃO GOVERNAMENTAL SEPLAG GESTÃO GOVERNAMENTAL,ISS SEPLAG... ANA DE POLÍTICAS PÚBLICAS E GESTÃO GOVERNAMENTAL SEPLAG GESTÃO GOVERNAMENTAL,false
611_3,ISS SEPLAG Niteroi AUDITOR MUNICIPAL DE CONTROLE INTERNO CGM CIÊNCIAS CONTÁBEIS,ISS SEPLAG... AUDITOR MUNICIPAL DE CONTROLE INTERNO CGM CIÊNCIAS CONTÁBEIS,false
