contest_name,contest_value,source_url,page_title,fetched_at,candidates_count,named_count,inside_vacancies_count
ISS JARINU Controlador Interno,748_2,https://www.rankingdosconcursos.com.br/?tC=2&sCa=748_2&tV=0,Ranking dos Concursos,2026-04-20T15:21:24.983Z,108,0,0
ISS JARINU FISCAL TRIBUTÁRIO,748_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=748_1&tV=0,Ranking dos Concursos,2026-04-20T15:21:27.992Z,19,0,0
ISS Joinville Auditor Fiscal,275_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=275_1&tV=0,Ranking dos Concursos,2026-04-20T15:21:31.372Z,24,4,1
ISS Lagoa Vermelha Auditor Fiscal,735_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=735_1&tV=0,Ranking dos Concursos,2026-04-20T15:21:38.126Z,66,0,0
ISS Londrina Auditor Fiscal de Tributos,246_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=246_1&tV=0,Ranking dos Concursos,2026-04-20T15:22:01.228Z,788,410,1
ISS Macaé Auditor Fiscal Tributário,422_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=422_1&tV=0,Ranking dos Concursos,2026-04-20T15:22:09.669Z,273,177,4
ISS Manaus Auditor Fiscal de Tributos Municipais,13_2,https://www.rankingdosconcursos.com.br/?tC=2&sCa=13_2&tV=0,Ranking dos Concursos,2026-04-20T15:22:12.419Z,98,93,9
ISS Marica Fiscal de Tributos,64_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=64_1&tV=0,Ranking dos Concursos,2026-04-20T15:22:25.690Z,177,0,20
ISS Maua Fiscal de Tributos I,63_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=63_1&tV=0,Ranking dos Concursos,2026-04-20T15:22:44.762Z,286,0,3
ISS Mossoro ANA DE PROCURADORIA – ESP.: CONTABILIDADE,588_6,https://www.rankingdosconcursos.com.br/?tC=2&sCa=588_6&tV=0,Ranking dos Concursos,2026-04-20T15:22:47.345Z,6,0,0
ISS Mossoro ANA DE PROCURADORIA – ESP.: DIREITO,588_7,https://www.rankingdosconcursos.com.br/?tC=2&sCa=588_7&tV=0,Ranking dos Concursos,2026-04-20T15:22:54.230Z,79,10,0
ISS Mossoro AUDITOR FISCAL DE TRIBUTOS MUNICIPAIS,588_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=588_1&tV=0,Ranking dos Concursos,2026-04-20T15:23:12.761Z,290,0,0
ISS Mossoro AUDITOR FISCAL DE TRIBUTOS MUNICIPAIS – ESP.: CIÊNCIAS CONTÁBEIS,588_2,https://www.rankingdosconcursos.com.br/?tC=2&sCa=588_2&tV=0,Ranking dos Concursos,2026-04-20T15:23:17.752Z,46,0,0
ISS Mossoro AUDITOR FISCAL DE TRIBUTOS MUNICIPAIS – ESP.: DIREITO,588_3,https://www.rankingdosconcursos.com.br/?tC=2&sCa=588_3&tV=0,Ranking dos Concursos,2026-04-20T15:23:23.350Z,60,0,0
ISS Mossoro AUDITOR FISCAL DE TRIBUTOS MUNICIPAIS – ESP.: ENGENHARIA,588_4,https://www.rankingdosconcursos.com.br/?tC=2&sCa=588_4&tV=0,Ranking dos Concursos,2026-04-20T15:23:28.025Z,30,0,0
ISS Mossoro AUDITOR FISCAL DE TRIBUTOS MUNICIPAIS – ESP.: TECNOLOGIA DA,588_5,https://www.rankingdosconcursos.com.br/?tC=2&sCa=588_5&tV=0,Ranking dos Concursos,2026-04-20T15:23:32.720Z,36,0,0
ISS Mossoro PROCURADOR DO MUNICÍPIO,588_8,https://www.rankingdosconcursos.com.br/?tC=2&sCa=588_8&tV=0,Ranking dos Concursos,2026-04-20T15:23:40.003Z,88,7,0
ISS Muriau Auditor Fiscal,55_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=55_1&tV=0,Ranking dos Concursos,2026-04-20T15:23:54.635Z,218,0,1
ISS Nova Iguaçu Ana Tributário do Tesouro Municipal,418_2,https://www.rankingdosconcursos.com.br/?tC=2&sCa=418_2&tV=0,Ranking dos Concursos,2026-04-20T15:24:07.126Z,166,0,4
ISS Nova Iguaçu Auditor Fiscal do Tesouro Municipal,418_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=418_1&tV=0,Ranking dos Concursos,2026-04-20T15:24:36.393Z,460,0,7
ISS Nova Iguaçu Contador,418_3,https://www.rankingdosconcursos.com.br/?tC=2&sCa=418_3&tV=0,Ranking dos Concursos,2026-04-20T15:24:38.606Z,7,0,2
ISS Osasco Fiscal Tributário,36_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=36_1&tV=0,Ranking dos Concursos,2026-04-20T15:25:37.522Z,1000,51,14
ISS Ouro Branco Auditor Fiscal Tributário,59_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=59_1&tV=0,Ranking dos Concursos,2026-04-20T15:25:57.998Z,326,28,4
ISS Ouro Preto Auditor Fiscal da Receita Municipal,389_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=389_1&tV=0,Ranking dos Concursos,2026-04-20T15:26:03.175Z,51,0,1
ISS Paraty Fiscal de Tributos,429_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=429_1&tV=0,Ranking dos Concursos,2026-04-20T15:27:00.264Z,861,0,2
ISS Paulinia Auditor Fiscal,83_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=83_1&tV=0,Ranking dos Concursos,2026-04-20T15:27:05.501Z,54,4,1
ISS Pereira Barreto Auditor Fiscal de Tributos,722_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=722_1&tV=0,Ranking dos Concursos,2026-04-20T15:27:11.101Z,58,0,0
ISS Petrolina Auditor Fiscal,32_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=32_1&tV=0,Ranking dos Concursos,2026-04-20T15:27:42.984Z,446,0,7
ISS Pinhais Ana Fiscal de Tributos Municipais,131_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=131_1&tV=0,Ranking dos Concursos,2026-04-20T15:27:49.015Z,67,7,1
ISS Ponta Grossa Auditor Fiscal,156_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=156_1&tV=0,Ranking dos Concursos,2026-04-20T15:28:02.567Z,164,0,1
